 SMPL    1952.1   2029.4 ;
 LOAD AG1      ;
   0.32398853000E+00  0.32405754000E+00  0.32403865000E+00  0.32381987000E+00
   0.32366431000E+00  0.32352296000E+00  0.32332442000E+00  0.32297612000E+00
   0.32264627000E+00  0.32534445000E+00  0.32488169000E+00  0.32420971000E+00
   0.32377129000E+00  0.32342347000E+00  0.32289186000E+00  0.32218382000E+00
   0.32168652000E+00  0.32131541000E+00  0.32070456000E+00  0.32004433000E+00
   0.31946706000E+00  0.31894839000E+00  0.31841136000E+00  0.31773840000E+00
   0.31728707000E+00  0.31693671000E+00  0.31661828000E+00  0.31622716000E+00
   0.31600288000E+00  0.31589799000E+00  0.31576820000E+00  0.31550452000E+00
   0.31530959000E+00  0.31513355000E+00  0.31493499000E+00  0.31473415000E+00
   0.31454498000E+00  0.31435421000E+00  0.31416109000E+00  0.31397043000E+00
   0.31378133000E+00  0.31359220000E+00  0.31340380000E+00  0.31321657000E+00
   0.31302994000E+00  0.31284401000E+00  0.31265895000E+00  0.31247462000E+00
 'END' 
 LOAD AG2      ;
   0.00000000000E+00  0.00000000000E+00 -0.76681550000E-01 -0.75395790000E-01
  -0.74115600000E-01 -0.72840970000E-01 -0.71725030000E-01 -0.70767390000E-01
  -0.69814700000E-01 -0.68866950000E-01 -0.68050950000E-01 -0.67365820000E-01
  -0.66684240000E-01 -0.66006240000E-01 -0.65383490000E-01 -0.64815780000E-01
  -0.64251080000E-01 -0.63689360000E-01 -0.63278530000E-01 -0.63017400000E-01
  -0.62757740000E-01 -0.62499520000E-01 -0.62580340000E-01 -0.62997270000E-01
  -0.63411860000E-01 -0.63824100000E-01 -0.64630070000E-01 -0.65824910000E-01
  -0.67011130000E-01 -0.68188720000E-01 -0.69234960000E-01 -0.70151890000E-01
  -0.71062980000E-01 -0.71968290000E-01 -0.72833820000E-01 -0.73659860000E-01
  -0.74480630000E-01 -0.75296150000E-01 -0.76020510000E-01 -0.76654770000E-01
  -0.77285240000E-01 -0.77912000000E-01 -0.79419410000E-01 -0.81793260000E-01
  -0.84144720000E-01 -0.86474070000E-01 -0.88441360000E-01 -0.90052840000E-01
