SMPL 1960.1 2017.4;
LOAD XID CC D1 D2 D3 D4;
 2010.3    0.00  -99.00    0.00    1.00    0.00
 2010.4    0.00  -99.00    0.00    0.00    1.00
 2011.1    1.00    1.00    0.00    0.00    0.00
 2011.2    0.00  -99.00    1.00    0.00    0.00
 2011.3    0.00  -99.00    0.00    1.00    0.00
 2011.4    0.00  -99.00    0.00    0.00    1.00
 2012.1    1.00    1.00    0.00    0.00    0.00
 2012.2    0.00  -99.00    1.00    0.00    0.00
 2012.3    0.00  -99.00    0.00    1.00    0.00
 2012.4    0.00  -99.00    0.00    0.00    1.00
 2013.1    1.00    1.00    0.00    0.00    0.00
 2013.2    0.00  -99.00    1.00    0.00    0.00
 2013.3    0.00  -99.00    0.00    1.00    0.00
 2013.4    0.00  -99.00    0.00    0.00    1.00
 2014.1    1.00    1.00    0.00    0.00    0.00
 2014.2    0.00  -99.00    1.00    0.00    0.00
 2014.3    0.00  -99.00    0.00    1.00    0.00
 2014.4    0.00  -99.00    0.00    0.00    1.00
 2015.1    1.00    1.00    0.00    0.00    0.00
 2015.2    0.00  -99.00    1.00    0.00    0.00
 2015.3    0.00  -99.00    0.00    1.00    0.00
 2015.4    0.00  -99.00    0.00    0.00    1.00
 2016.1    1.00    1.00    0.00    0.00    0.00
 2016.2    0.00  -99.00    1.00    0.00    0.00
 2016.3    0.00  -99.00    0.00    1.00    0.00
 2016.4    0.00  -99.00    0.00    0.00    1.00
 2017.1    1.00    1.00    0.00    0.00    0.00
 2017.2    0.00  -99.00    1.00    0.00    0.00
 2017.3    0.00  -99.00    0.00    1.00    0.00
 2017.4    0.00  -99.00    0.00    0.00    1.00
'END'
LOAD XID  VV1  VV2  VV3  VV4  VV5  VV6  VV7  VV8  VV9  VV10;
 1960.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1960.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1960.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1960.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1961.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1961.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1961.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1961.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1962.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1962.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1962.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 1962.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
